exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs,pretrained
resnet50_set1_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,1,0.9387142658233644,0.9407142996788024,0.001,28000,10,0
resnet50_set1_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,1,0.9430000185966492,0.9423214197158812,0.0006,28000,10,0
resnet50_set1_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v1,1,0.9557856917381288,0.9544642567634584,0.0003,28000,10,0
resnet50_set2_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,2,0.9998571276664734,1.0,0.001,28000,10,0
resnet50_set2_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,2,0.9999642968177797,1.0,0.0006,28000,10,0
resnet50_set2_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v1,2,0.9998928308486938,1.0,0.0003,28000,10,0
resnet50_set3_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,3,0.9999285340309144,1.0,0.001,28000,10,0
resnet50_set3_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,3,0.9999285340309144,1.0,0.0006,28000,10,0
resnet50_set3_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,3,0.9998214244842528,0.999642848968506,0.0003,28000,10,0
resnet50_set4_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,4,1.0,1.0,0.001,28000,10,0
resnet50_set4_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,4,1.0,1.0,0.0006,28000,10,0
resnet50_set4_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,4,0.9999642968177797,1.0,0.0003,28000,10,0
resnet50_set5_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,5,0.9039642810821532,0.9055356979370116,0.001,28000,10,0
resnet50_set5_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,5,0.9064642786979676,0.9049999713897704,0.0006,28000,10,0
resnet50_set5_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,5,0.8964642882347107,0.8942856788635254,0.0003,28000,10,0
resnet50_set6_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,6,0.8203928470611572,0.8069642782211304,0.001,28000,10,0
resnet50_set6_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,6,0.8282142877578735,0.8069642782211304,0.0006,28000,10,0
