imagename,prediction,label,logits
1,0.0,0.0,-10.96606731414795
1001,0.0,0.0,-11.03919506072998
1003,0.0,0.0,-9.579506874084473
1005,0.0,0.0,-10.546133041381836
1007,0.0,0.0,-11.26840877532959
1009,0.0,0.0,-10.77959156036377
101,0.0,0.0,-10.52748966217041
1011,0.0,0.0,-9.218476295471191
1013,0.0,0.0,-10.700298309326172
1015,0.0,0.0,-12.846761703491211
1017,0.0,0.0,-8.140698432922363
1019,0.0,0.0,-9.790433883666992
1021,0.0,0.0,-9.452140808105469
1023,0.0,0.0,-8.951523780822754
1025,0.0,0.0,-10.273247718811035
1027,0.0,0.0,-8.480744361877441
1029,0.0,0.0,-10.69357967376709
103,0.0,0.0,-11.919027328491211
1031,0.0,0.0,-9.197685241699219
1033,0.0,0.0,-12.157075881958008
1035,0.0,0.0,-9.182470321655273
1037,0.0,0.0,-13.168190956115723
1039,0.0,0.0,-10.295027732849121
1041,0.0,0.0,-9.777758598327637
1043,0.0,0.0,-10.713801383972168
1045,0.0,0.0,-10.897119522094727
1047,0.0,0.0,-9.542740821838379
1049,0.0,0.0,-11.852983474731445
105,0.0,0.0,-8.37355899810791
1051,0.0,0.0,-9.080120086669922
1053,0.0,0.0,-9.967059135437012
1055,0.0,0.0,-9.035730361938477
1057,0.0,0.0,-11.828643798828125
1059,0.0,0.0,-9.289851188659668
1061,0.0,0.0,-9.601012229919434
1063,0.0,0.0,-10.983610153198242
1065,0.0,0.0,-8.657415390014648
1067,0.0,0.0,-9.553587913513184
1069,0.0,0.0,-10.379232406616211
107,0.0,0.0,-10.409768104553223
1071,0.0,0.0,-9.270719528198242
1073,0.0,0.0,-11.285113334655762
1075,0.0,0.0,-12.862058639526367
1077,0.0,0.0,-7.968424320220947
1079,0.0,0.0,-8.71721363067627
1081,0.0,0.0,-10.293554306030273
1083,0.0,0.0,-11.503705978393555
1085,0.0,0.0,-11.969536781311035
1087,0.0,0.0,-12.827813148498535
1089,0.0,0.0,-7.483201503753662
109,0.0,0.0,-11.167763710021973
1091,0.0,0.0,-10.698307991027832
1093,0.0,0.0,-10.378433227539062
1095,0.0,0.0,-10.772232055664062
1097,0.0,0.0,-10.832695007324219
1099,0.0,0.0,-10.67668628692627
11,0.0,0.0,-8.770522117614746
1101,0.0,0.0,-11.190361022949219
1103,0.0,0.0,-9.704632759094238
1105,0.0,0.0,-10.236529350280762
1107,0.0,0.0,-12.157139778137207
1109,0.0,0.0,-10.463292121887207
111,0.0,0.0,-11.785025596618652
1111,0.0,0.0,-8.443266868591309
1113,0.0,0.0,-9.158941268920898
1115,0.0,0.0,-9.6225004196167
1117,0.0,0.0,-9.281461715698242
1119,0.0,0.0,-10.79012680053711
1121,0.0,0.0,-11.515983581542969
1123,0.0,0.0,-12.508061408996582
1125,0.0,0.0,-9.647276878356934
1127,0.0,0.0,-11.548564910888672
1129,0.0,0.0,-9.118358612060547
113,0.0,0.0,-10.188375473022461
1131,0.0,0.0,-10.017455101013184
1133,0.0,0.0,-8.699675559997559
1135,0.0,0.0,-11.356224060058594
1137,0.0,0.0,-10.360896110534668
1139,0.0,0.0,-10.897416114807129
1141,0.0,0.0,-12.05056095123291
1143,0.0,0.0,-9.75838565826416
1145,0.0,0.0,-9.83531665802002
1147,0.0,0.0,-9.616011619567871
1149,0.0,0.0,-8.093977928161621
115,0.0,0.0,-8.479459762573242
1151,0.0,0.0,-9.91047191619873
1153,0.0,0.0,-11.146265983581543
1155,0.0,0.0,-11.065925598144531
1157,0.0,0.0,-11.366801261901855
1159,0.0,0.0,-10.827463150024414
1161,0.0,0.0,-10.104585647583008
1163,0.0,0.0,-12.280102729797363
1165,0.0,0.0,-8.71105670928955
1167,0.0,0.0,-10.363659858703613
1169,0.0,0.0,-8.233596801757812
117,0.0,0.0,-10.257290840148926
1171,0.0,0.0,-10.274426460266113
1173,0.0,0.0,-11.2349853515625
1175,0.0,0.0,-6.638865947723389
1177,0.0,0.0,-10.39673900604248
